movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt0058610,The Spy with My Face,1965,Not Rated,88 min,"Adventure, Comedy, Crime",6,U.N.C.L.E. agents Napoleon Solo and Illya Kuryakin are sent to the Swiss Alps to find a secret nuclear weapon design but T.H.R.U.S.H. agents kidnap Solo and replace him with a look-alike double.,John Newland,/name/nm0627950/,"Robert Vaughn, 
Senta Berger, 
David McCallum, 
Leo G. Carroll","/name/nm0001816/,/name/nm0000919/,/name/nm0564724/,/name/nm0001991/",514,
tt0053441,Westbound,1958,Passed,72 min,"Action, Romance, War",6.5,In 1864 Capt. John Hayes goes to Colorado to take over the stagecoach line and keep the flow of Western gold flowing and help the North win the Civil War.,Budd Boetticher,/name/nm0091430/,"Randolph Scott, 
Virginia Mayo, 
Karen Steele, 
Michael Dante","/name/nm0000068/,/name/nm0562920/,/name/nm0824606/,/name/nm0200599/",1374,
tt0213775,Kohram,1999,,150 min,"Action, Comedy, Drama",5.4,"Major Ajit is sent to nab ex-Army officer Colonel Sodhi, who is hiding in the guise of Devraj Hathoda.",Mehul Kumar,/name/nm0474837/,"Amitabh Bachchan, 
Nana Patekar, 
Tabu, 
Jaya Prada","/name/nm0000821/,/name/nm0007113/,/name/nm0007102/,/name/nm0419685/",676,
tt6516590,Cold Zone,2017,Unrated,85 min,"Action, Sci-Fi",3.6,A storm is coming. No one could predict it. No one can measure it.Now one family must survive it. You can't come in from the cold.,John MacCarthy,/name/nm0531453/,"Martin Cummins, 
Lauren K. Robek, 
Nick Purcha, 
Sarah Desjardins","/name/nm0192024/,/name/nm0730510/,/name/nm4729403/,/name/nm4480988/",901,
tt0083149,Sword of Heaven,1985,R,85 min,"Action, Crime, Fantasy",6.2,A magic blade made thousands of years ago from the remains of a meteor is stolen by a criminal gang in Japan. A Japanese policeman tracks the gang to California in his quest to get the sword back before it can be put to evil use.,Byron Meyers,/name/nm0583504/,"Tadashi Yamashita, 
Mel Novak, 
Bill Wallace, 
Gerry Gibson","/name/nm0945632/,/name/nm0636893/,/name/nm0908539/,/name/nm0316977/",90,
tt3121200,Breakdown Lane,2017,,76 min,"Action, Drama, Horror",2.8,"When Kirby Lane's SUV breaks down in the middle of the desert, she must overcome the dehydration, coyotes, and lurking undead to find her way home.","Bob Schultz, 
Robert Conway",/name/nm0776205/,"Whitney Moore, 
Kevin Tye, 
Clint James, 
Shane Dean","/name/nm1757671/,/name/nm3179972/,/name/nm2435917/,/name/nm1752714/,/name/nm1194276/",505,
tt10334624,Aruvam,2019,,128 min,"Action, Comedy, Horror",4.6,"A woman who doesn't like harming even an ant is possessed with the ghost of the man who loves her, which wants to take revenge on the corrupt men who murdered him.",Sai Sekhar,/name/nm10695571/,"Siddharth, 
Catherine Tresa, 
Kabir Duhan Singh, 
Sathish","/name/nm1413459/,/name/nm5528429/,/name/nm7216750/,/name/nm3951906/",784,
tt14994254,Les Rascals,2022,,105 min,"Action, Drama",7.1,Add a Plot,Jimmy Laporal-Trésor,/name/nm5367786/,"Jonathan Feltre, 
Missoum Slimani, 
Jonathan Eap, 
Marvin Dubart","/name/nm12723870/,/name/nm8287899/,/name/nm10952490/,/name/nm10387724/",87,
tt0106970,Frogtown II,1992,PG-13,90 min,"Sci-Fi, Action",3.3,"In the sequel to Hell Comes to Frogtown, the Mutant-Frog leader of Frogtown kidnaps a professor and forces him to make a serum that will turn everyone into Frogs, they also kidnap some ...                See full summary »",Donald G. Jackson,/name/nm0413459/,"Robert Z'Dar, 
Denice Duff, 
Kelsey, 
Linda Singer","/name/nm0120494/,/name/nm0240373/,/name/nm0447030/,/name/nm0801989/",398,
tt0459425,"Kangaroo Jack: G'Day, U.S.A.!",2004,Not Rated,75 min,"Animation, Action, Adventure",3.9,"When poachers kidnap Jackie Legs from the Australian Outback, his friends leap into action! Their attempts to save him route them back to the U.S. into the glitz and glamour of Las Vegas.",Ron Myrick,/name/nm0617106/,"Ahmed Best, 
Josh Keaton, 
Jeff Bennett, 
Kath Soucie","/name/nm0078886/,/name/nm0005079/,/name/nm0071818/,/name/nm0815718/",445,
tt4995784,RX Suri,2015,,,Action,7.2,"RX Suri is inspired from the life story of Paritaala Soori, who was infamous for his criminal activities in the Rayalaseema province of Andhra Pradesh.",Shrijai,/name/nm7563114/,"Akanksha, 
Sadhu Kokila, 
Adi Lokesh, 
Patre Nagaraj","/name/nm0015086/,/name/nm2794335/,/name/nm4841794/,/name/nm7192775/",64,
tt0063859,Mission Stardust,1967,PG,95 min,"Action, Adventure, Sci-Fi",4.2,A team of astronauts is sent to the moon to rescue an alien who is seeking help to save her dying race. They are attacked by a force of bandit robots and discover that enemy spies are out to kill the alien.,Primo Zeglio,/name/nm0954234/,"Lang Jeffries, 
Essy Persson, 
Luis Dávila, 
Pinkas Braun","/name/nm0420382/,/name/nm0675579/,/name/nm0246293/,/name/nm0105835/",814,
tt4943558,Saheb Bibi Golaam,2016,,121 min,"Action, Crime, Drama",6.4,Three very different people from three very different worlds collide one winter afternoon in an anarchic Kolkata.,Pratim D. Gupta,/name/nm4857370/,"Damini Basu, 
Ritwick Chakraborty, 
Vikram Chatterjee, 
Avishek De Biswas","/name/nm5066719/,/name/nm3368782/,/name/nm5550033/,/name/nm9933203/",681,
tt0115487,Airbag,1997,,124 min,"Action, Comedy, Crime",6.7,"Mamacita's boy Juantxo is engaged. Dragged to the party by his friends Konradin and Paco, he loses his expensive wedding ring inside a prostitute's body. Mafioso whorehouse owner ...                See full summary »",Juanma Bajo Ulloa,/name/nm0048056/,"Karra Elejalde, 
Fernando Guillén Cuervo, 
Alberto San Juan, 
Maria de Medeiros","/name/nm0253216/,/name/nm0347202/,/name/nm0760664/,/name/nm0210218/",4835,
tt0071330,Street Law,1974,,105 min,"Action, Thriller",6.9,"An engineer seeks vigilante justice against the gangsters who took him hostage, and forms an unlikely partnership with a young robber to bring them down.",Enzo G. Castellari,/name/nm0144758/,"Franco Nero, 
Giancarlo Prete, 
Barbara Bach, 
Renzo Palmer","/name/nm0626259/,/name/nm0307752/,/name/nm0000819/,/name/nm0658425/",1615,
tt0047048,Torpedo Zone,1954,,86 min,"Action, Drama, Romance",5.5,"During WWII, handsome young Italian sub commander and his crew torpedo Allied freighters and transport ships for the Axis then rescue the occasional survivor and treat them humanely while seeking a safe place to put them ashore.",Duilio Coletti,/name/nm0171385/,"Lois Maxwell, 
Renato Baldini, 
Carlo Bellini, 
Aldo Bufi Landi","/name/nm0561755/,/name/nm0049766/,/name/nm0069032/,/name/nm0119411/",151,
tt10308500,Butai Yu Yu Hakusho,2020,,126 min,"Action, Adventure, Fantasy",8.1,"A delinquent teenager is killed in a car accident, and is resurrected as an investigator of the supernatural.",Chûji Mikasano,/name/nm5914406/,"Hirofumi Araki, 
Naoya Gômoto, 
Shohei Hashimoto, 
Yuka Hirata","/name/nm2318591/,/name/nm4883063/,/name/nm10682412/,/name/nm3075331/",41,
